createdAt,amount,originRate
2015-03-21T19:45:58.462Z,1.00,1.00
2015-03-21T19:45:53.013Z,1.00,1.00
2015-03-21T19:45:47.253Z,1.00,1.00
2015-03-21T19:45:40.120Z,1.00,1.00
2015-03-21T19:45:25.574Z,1.00,1.00
2015-03-21T19:45:20.207Z,1.00,1.00
2015-03-21T19:45:15.061Z,1.00,1.00
2015-03-21T19:45:10.039Z,0.92,1.08205
2015-03-21T19:44:58.777Z,1.00,1.00
2015-03-21T19:44:45.998Z,1.00,1.00
2015-03-21T19:44:21.226Z,1.00,1.00
2015-03-21T19:44:08.653Z,1.00,1.00
2015-03-21T19:33:55.694Z,1.00,1.00
2015-03-21T19:33:42.945Z,1.00,1.00
2015-03-21T19:33:35.242Z,1.00,1.00
2015-03-21T19:33:19.788Z,1.00,1.00
2015-03-21T19:33:18.444Z,1.00,1.00
2015-03-21T19:33:12.009Z,1.00,1.00
2015-03-21T19:32:35.616Z,1.00,1.00
2015-03-21T19:32:23.732Z,1.00,1.00
2015-03-21T19:31:56.194Z,1.00,1.00
2015-03-21T19:31:42.027Z,1.00,1.00
2015-03-21T19:31:27.237Z,1.00,1.00
2015-03-21T19:31:16.612Z,1.00,1.00
2015-03-21T19:31:05.471Z,1.00,1.00
2015-03-21T19:30:57.411Z,1.00,1.00
2015-03-21T19:30:37.979Z,1.00,1.00
2015-03-21T19:30:12.833Z,1.00,1.00
2015-03-21T19:29:51.170Z,1.00,1.00
2015-03-21T19:29:35.738Z,1.00,1.00
2015-03-21T19:29:16.623Z,1.00,1.00
2015-03-21T19:28:56.156Z,1.00,1.00
2015-03-21T19:28:42.517Z,1.00,1.00
2015-03-21T19:28:22.616Z,1.00,1.00
2015-03-21T19:28:09.856Z,1.00,1.00
2015-03-21T19:27:51.700Z,1.00,1.00
2015-03-21T19:27:28.863Z,1.00,1.00
2015-03-21T19:27:00.107Z,1.00,1.00
2015-03-21T19:26:45.912Z,1.00,1.00
2015-03-21T19:26:44.811Z,1.00,1.00
2015-03-21T19:26:33.267Z,1.00,1.00
2015-03-21T19:26:19.654Z,1.00,1.00
2015-03-21T19:26:05.632Z,1.00,1.00
2015-03-21T19:25:53.425Z,1.00,1.00
2015-03-21T19:25:46.971Z,1.00,1.00
2015-03-21T19:25:32.837Z,1.00,1.00
2015-03-21T19:25:21.079Z,1.00,1.00
2015-03-21T19:25:03.922Z,1.00,1.00
2015-03-21T19:24:50.548Z,1.00,1.00
2015-03-21T19:24:39.845Z,1.00,1.00
2015-03-21T19:24:29.162Z,1.00,1.00
2015-03-21T19:24:19.557Z,1.00,1.00
2015-03-21T19:24:07.831Z,1.00,1.00
2015-03-21T19:23:53.745Z,1.00,1.00
2015-03-21T19:23:43.198Z,1.00,1.00
2015-03-21T19:23:37.550Z,1.00,1.00
